
time 00h 12m 12s, episodes 579, frames 144000, mean epr 1.35, run loss 0.76
time 00h 12m 18s, episodes 580, frames 145000, mean epr 1.34, run loss 0.61
time 00h 12m 23s, episodes 587, frames 146000, mean epr 1.33, run loss 0.32
time 00h 12m 28s, episodes 590, frames 147000, mean epr 1.31, run loss 0.33
time 00h 12m 28s, episodes 590, frames 147000, mean epr 1.31, run loss 0.33
time 00h 12m 33s, episodes 597, frames 148000, mean epr 1.34, run loss 0.94
time 00h 12m 39s, episodes 601, frames 149000, mean epr 1.29, run loss 0.52
time 00h 12m 38s, episodes 601, frames 149000, mean epr 1.29, run loss 0.52
time 00h 12m 44s, episodes 606, frames 150000, mean epr 1.28, run loss 0.22
time 00h 12m 51s, episodes 609, frames 151000, mean epr 1.27, run loss 0.39
time 00h 12m 56s, episodes 613, frames 152000, mean epr 1.25, run loss 0.38
time 00h 13m 01s, episodes 615, frames 153000, mean epr 1.22, run loss 0.11
time 00h 13m 06s, episodes 623, frames 154000, mean epr 1.25, run loss 0.40
time 00h 13m 10s, episodes 628, frames 155000, mean epr 1.26, run loss 0.61
time 00h 13m 16s, episodes 630, frames 156000, mean epr 1.27, run loss 0.72
time 00h 13m 21s, episodes 636, frames 157000, mean epr 1.22, run loss -0.15
time 00h 13m 27s, episodes 641, frames 158000, mean epr 1.21, run loss -0.06
time 00h 13m 31s, episodes 644, frames 159000, mean epr 1.20, run loss -0.28
time 00h 13m 37s, episodes 649, frames 160000, mean epr 1.16, run loss -0.39
time 00h 13m 42s, episodes 653, frames 161000, mean epr 1.15, run loss -0.19
time 00h 13m 47s, episodes 658, frames 162000, mean epr 1.13, run loss -0.39
time 00h 13m 52s, episodes 661, frames 163000, mean epr 1.16, run loss -0.21
time 00h 13m 57s, episodes 664, frames 164000, mean epr 1.15, run loss -0.32
time 00h 14m 02s, episodes 669, frames 165000, mean epr 1.16, run loss -0.01
time 00h 14m 07s, episodes 674, frames 166000, mean epr 1.19, run loss 0.42
time 00h 14m 13s, episodes 678, frames 167000, mean epr 1.16, run loss 0.23
time 00h 14m 17s, episodes 682, frames 168000, mean epr 1.15, run loss 0.14
time 00h 14m 23s, episodes 688, frames 169000, mean epr 1.16, run loss 0.39
time 00h 14m 28s, episodes 688, frames 170000, mean epr 1.16, run loss 0.39
time 00h 14m 33s, episodes 694, frames 171000, mean epr 1.14, run loss 0.09
time 00h 14m 38s, episodes 698, frames 172000, mean epr 1.12, run loss -0.42
time 00h 14m 43s, episodes 704, frames 173000, mean epr 1.17, run loss 0.28
time 00h 14m 49s, episodes 707, frames 174000, mean epr 1.20, run loss 0.83
time 00h 14m 48s, episodes 707, frames 174000, mean epr 1.20, run loss 0.83
time 00h 14m 53s, episodes 710, frames 175000, mean epr 1.18, run loss 0.62
time 00h 14m 58s, episodes 714, frames 176000, mean epr 1.19, run loss 0.30
time 00h 15m 03s, episodes 720, frames 177000, mean epr 1.19, run loss 0.30
time 00h 15m 08s, episodes 721, frames 178000, mean epr 1.20, run loss 0.27
time 00h 15m 14s, episodes 726, frames 179000, mean epr 1.23, run loss 0.51
time 00h 15m 18s, episodes 731, frames 180000, mean epr 1.23, run loss 0.14
time 00h 15m 24s, episodes 731, frames 181000, mean epr 1.23, run loss 0.14
time 00h 15m 28s, episodes 737, frames 182000, mean epr 1.26, run loss 0.39
time 00h 15m 34s, episodes 741, frames 183000, mean epr 1.26, run loss 0.11
time 00h 15m 38s, episodes 746, frames 184000, mean epr 1.26, run loss 0.29
time 00h 15m 43s, episodes 748, frames 185000, mean epr 1.26, run loss 0.36
time 00h 15m 48s, episodes 753, frames 186000, mean epr 1.32, run loss 0.22
time 00h 15m 54s, episodes 757, frames 187000, mean epr 1.30, run loss 0.17
time 00h 15m 58s, episodes 762, frames 188000, mean epr 1.28, run loss 0.44
time 00h 16m 04s, episodes 765, frames 189000, mean epr 1.28, run loss 0.46
time 00h 16m 08s, episodes 772, frames 190000, mean epr 1.25, run loss 0.28
time 00h 16m 13s, episodes 777, frames 191000, mean epr 1.23, run loss 0.18
time 00h 16m 19s, episodes 778, frames 192000, mean epr 1.22, run loss 0.06
time 00h 16m 24s, episodes 784, frames 193000, mean epr 1.21, run loss -0.05
time 00h 16m 28s, episodes 790, frames 194000, mean epr 1.17, run loss -0.08
time 00h 16m 34s, episodes 791, frames 195000, mean epr 1.19, run loss 0.15
time 00h 16m 39s, episodes 796, frames 196000, mean epr 1.17, run loss -0.08
time 00h 16m 43s, episodes 801, frames 197000, mean epr 1.17, run loss -0.17
time 00h 16m 49s, episodes 806, frames 198000, mean epr 1.19, run loss 0.21
time 00h 16m 54s, episodes 810, frames 199000, mean epr 1.19, run loss 0.14
time 00h 16m 58s, episodes 813, frames 200000, mean epr 1.22, run loss 0.56
time 00h 17m 04s, episodes 819, frames 201000, mean epr 1.17, run loss -0.24
time 00h 17m 09s, episodes 822, frames 202000, mean epr 1.17, run loss -0.09
time 00h 17m 14s, episodes 824, frames 203000, mean epr 1.17, run loss -0.07
time 00h 17m 19s, episodes 831, frames 204000, mean epr 1.19, run loss 0.26
time 00h 17m 24s, episodes 833, frames 205000, mean epr 1.19, run loss 0.23
time 00h 17m 29s, episodes 840, frames 206000, mean epr 1.19, run loss 0.27
time 00h 17m 34s, episodes 844, frames 207000, mean epr 1.16, run loss -0.01
time 00h 17m 39s, episodes 847, frames 208000, mean epr 1.17, run loss -0.16
time 00h 17m 43s, episodes 852, frames 209000, mean epr 1.14, run loss -0.48
time 00h 17m 48s, episodes 857, frames 210000, mean epr 1.15, run loss 0.07
time 00h 17m 54s, episodes 863, frames 211000, mean epr 1.12, run loss -0.40
time 00h 18m 00s, episodes 868, frames 212000, mean epr 1.14, run loss 0.08
time 00h 18m 05s, episodes 870, frames 213000, mean epr 1.12, run loss -0.11
time 00h 18m 10s, episodes 878, frames 214000, mean epr 1.08, run loss -0.23
time 00h 18m 15s, episodes 882, frames 215000, mean epr 1.05, run loss -0.40
time 00h 18m 20s, episodes 883, frames 216000, mean epr 1.06, run loss -0.33
time 00h 18m 25s, episodes 886, frames 217000, mean epr 1.05, run loss -0.26
time 00h 18m 30s, episodes 889, frames 218000, mean epr 1.06, run loss 0.26
time 00h 18m 35s, episodes 895, frames 219000, mean epr 1.09, run loss 0.50
time 00h 18m 40s, episodes 899, frames 220000, mean epr 1.15, run loss 0.59
time 00h 18m 45s, episodes 902, frames 221000, mean epr 1.17, run loss 0.84
time 00h 18m 51s, episodes 906, frames 222000, mean epr 1.20, run loss 1.18
time 00h 18m 56s, episodes 907, frames 223000, mean epr 1.19, run loss 1.00
time 00h 19m 01s, episodes 916, frames 224000, mean epr 1.18, run loss 0.04
time 00h 19m 05s, episodes 920, frames 225000, mean epr 1.20, run loss 0.60
time 00h 19m 10s, episodes 923, frames 226000, mean epr 1.21, run loss 0.48
time 00h 19m 16s, episodes 924, frames 227000, mean epr 1.21, run loss 0.42
time 00h 19m 21s, episodes 931, frames 228000, mean epr 1.17, run loss 0.25
time 00h 19m 26s, episodes 934, frames 229000, mean epr 1.20, run loss 0.43
time 00h 19m 31s, episodes 937, frames 230000, mean epr 1.20, run loss 0.40
time 00h 19m 36s, episodes 941, frames 231000, mean epr 1.24, run loss 1.06
