time, episodes, frames, mean-epr, run-loss
00h-46m-38s, 8065, 2320000, 4.28, -2.76
00h-46m-50s, 8088, 2330000, 4.16, -3.42
00h-47m-02s, 8112, 2340000, 4.39, -2.91
00h-47m-15s, 8139, 2350000, 4.50, -2.23
00h-47m-26s, 8164, 2360000, 4.46, -2.47
00h-47m-39s, 8188, 2370000, 4.55, -2.20
00h-47m-50s, 8211, 2380000, 4.63, -2.23
00h-48m-03s, 8234, 2390000, 4.92, -1.58
00h-48m-14s, 8256, 2400000, 4.92, -1.43
00h-48m-27s, 8281, 2410000, 4.99, -2.65
00h-48m-38s, 8304, 2420000, 5.02, -2.04
00h-48m-51s, 8327, 2430000, 5.12, -2.48
00h-49m-02s, 8350, 2440000, 5.15, -2.36
00h-49m-14s, 8372, 2450000, 5.32, -2.12
00h-49m-27s, 8393, 2460000, 5.32, -2.68
00h-49m-39s, 8419, 2470000, 5.39, -2.23
00h-49m-51s, 8441, 2480000, 5.25, -2.68
00h-50m-03s, 8465, 2490000, 5.18, -2.66
00h-50m-15s, 8485, 2500000, 5.25, -2.49
00h-50m-27s, 8511, 2510000, 5.30, -2.57
00h-50m-39s, 8533, 2520000, 5.32, -3.04
00h-50m-51s, 8559, 2530000, 5.27, -2.53
00h-51m-04s, 8583, 2540000, 5.17, -2.75
00h-51m-16s, 8601, 2550000, 5.20, -2.50
00h-51m-28s, 8628, 2560000, 5.32, -3.13
00h-51m-40s, 8648, 2570000, 5.20, -3.41
00h-51m-52s, 8672, 2580000, 5.33, -2.89
00h-52m-04s, 8696, 2590000, 5.29, -3.59
00h-52m-16s, 8716, 2600000, 5.34, -3.46
00h-52m-28s, 8737, 2610000, 5.52, -2.74
00h-52m-40s, 8754, 2620000, 5.68, -3.03
00h-52m-52s, 8777, 2630000, 5.85, -2.81
00h-53m-04s, 8801, 2640000, 5.80, -2.51
00h-53m-16s, 8821, 2650000, 5.72, -3.12
00h-53m-28s, 8841, 2660000, 5.88, -3.18
00h-53m-40s, 8865, 2670000, 5.83, -3.25
00h-54m-04s, 8916, 2690000, 5.66, -3.15
00h-54m-16s, 8933, 2700000, 5.46, -3.06
00h-54m-29s, 8958, 2710000, 5.57, -3.23
00h-54m-41s, 8978, 2720000, 5.60, -2.81
00h-54m-53s, 9000, 2730000, 5.68, -2.92
00h-55m-05s, 9017, 2740000, 5.68, -4.39
00h-55m-17s, 9035, 2750000, 6.04, -3.59
00h-55m-29s, 9054, 2760000, 6.23, -3.21
00h-55m-41s, 9075, 2770000, 6.35, -3.35
00h-55m-53s, 9099, 2780000, 6.53, -3.92
00h-56m-05s, 9114, 2790000, 6.52, -4.00
00h-56m-17s, 9133, 2800000, 6.66, -3.87
00h-56m-29s, 9155, 2810000, 6.71, -4.60
00h-56m-41s, 9176, 2820000, 6.69, -4.65
00h-56m-53s, 9193, 2830000, 6.68, -4.40
00h-57m-05s, 9216, 2840000, 6.70, -4.67
00h-57m-17s, 9238, 2850000, 6.49, -4.29
00h-57m-29s, 9253, 2860000, 6.42, -4.71
00h-57m-29s, 9253, 2860000, 6.42, -4.71
00h-57m-41s, 9280, 2870000, 6.61, -3.32
00h-57m-53s, 9301, 2880000, 6.49, -4.15
00h-58m-17s, 9359, 2900000, 5.39, -1.63
00h-58m-29s, 9382, 2910000, 5.26, -2.40
00h-58m-41s, 9404, 2920000, 5.16, -2.50
00h-58m-53s, 9427, 2930000, 5.23, -2.21
00h-59m-05s, 9446, 2940000, 5.23, -2.69
00h-59m-17s, 9470, 2950000, 5.64, -1.73
00h-59m-29s, 9484, 2960000, 5.75, -1.70
00h-59m-42s, 9508, 2970000, 5.90, -2.52
00h-59m-54s, 9530, 2980000, 5.88, -3.36
01h-00m-06s, 9549, 2990000, 6.07, -2.89
01h-00m-18s, 9569, 3000000, 6.19, -3.32
01h-00m-30s, 9589, 3010000, 6.39, -3.88
01h-00m-30s, 9589, 3010000, 6.39, -3.88
01h-00m-42s, 9608, 3020000, 6.39, -3.98
01h-00m-54s, 9632, 3030000, 6.42, -3.88
01h-01m-06s, 9648, 3040000, 6.32, -4.18
01h-01m-18s, 9672, 3050000, 6.54, -3.54
01h-01m-30s, 9691, 3060000, 6.45, -3.92
01h-01m-42s, 9715, 3070000, 6.34, -3.51
01h-01m-54s, 9737, 3080000, 6.24, -3.55
01h-02m-06s, 9756, 3090000, 6.33, -3.46
01h-02m-18s, 9773, 3100000, 6.51, -3.90
01h-02m-30s, 9793, 3110000, 6.66, -4.05
01h-02m-42s, 9815, 3120000, 6.69, -4.13
01h-02m-54s, 9837, 3130000, 6.48, -4.31
01h-03m-06s, 9854, 3140000, 6.42, -4.54
01h-03m-18s, 9876, 3150000, 6.66, -4.23
01h-03m-30s, 9892, 3160000, 6.66, -3.91
01h-03m-42s, 9909, 3170000, 6.71, -4.30
01h-03m-53s, 9930, 3180000, 7.07, -3.73
01h-04m-06s, 9945, 3190000, 7.22, -3.61
01h-04m-17s, 9969, 3200000, 7.01, -4.42
01h-04m-30s, 9988, 3210000, 7.09, -4.63
01h-04m-42s, 10009, 3220000, 7.18, -4.37
01h-04m-54s, 10027, 3230000, 7.06, -4.60
01h-05m-06s, 10045, 3240000, 7.26, -4.78
01h-05m-18s, 10064, 3250000, 7.27, -4.48
01h-05m-30s, 10082, 3260000, 7.45, -3.94
01h-05m-42s, 10101, 3270000, 7.66, -4.30
01h-05m-54s, 10119, 3280000, 7.52, -4.47
01h-06m-06s, 10142, 3290000, 7.48, -4.31
01h-06m-18s, 10154, 3300000, 7.54, -4.05
01h-06m-30s, 10176, 3310000, 7.57, -4.52
01h-06m-42s, 10194, 3320000, 7.53, -4.54
01h-06m-54s, 10212, 3330000, 7.57, -4.62
01h-07m-06s, 10229, 3340000, 7.50, -3.84
01h-07m-18s, 10252, 3350000, 7.72, -4.17
01h-07m-30s, 10265, 3360000, 7.77, -3.96
01h-07m-42s, 10283, 3370000, 7.80, -4.31
01h-07m-54s, 10304, 3380000, 7.83, -4.48
01h-08m-05s, 10319, 3390000, 7.75, -4.38
01h-08m-18s, 10337, 3400000, 7.74, -4.05
01h-08m-30s, 10357, 3410000, 7.75, -4.46
01h-08m-41s, 10377, 3420000, 7.71, -4.84
01h-09m-06s, 10416, 3440000, 7.86, -5.22
01h-09m-17s, 10433, 3450000, 7.71, -5.09
01h-09m-30s, 10450, 3460000, 7.59, -4.88
01h-09m-41s, 10470, 3470000, 7.65, -3.97
01h-09m-53s, 10488, 3480000, 7.77, -4.46
01h-10m-06s, 10506, 3490000, 7.65, -5.36
01h-10m-18s, 10524, 3500000, 7.71, -5.05
01h-10m-30s, 10540, 3510000, 7.82, -5.77
01h-10m-42s, 10563, 3520000, 7.82, -5.27
01h-10m-54s, 10580, 3530000, 7.68, -4.89
01h-11m-06s, 10597, 3540000, 7.81, -5.13
01h-11m-18s, 10613, 3550000, 7.78, -5.30
01h-11m-30s, 10636, 3560000, 7.97, -4.60
01h-11m-42s, 10651, 3570000, 7.76, -5.39
01h-11m-54s, 10665, 3580000, 8.02, -4.21
01h-12m-06s, 10690, 3590000, 8.20, -5.21
01h-12m-19s, 10706, 3600000, 7.99, -4.56
01h-12m-31s, 10721, 3610000, 8.02, -5.26
01h-12m-43s, 10739, 3620000, 8.14, -5.39
01h-12m-54s, 10753, 3630000, 8.27, -5.20
01h-13m-06s, 10775, 3640000, 8.48, -4.49
